name,slug,era,human_host,height,weight,age,home_world,race,special_moves,first_appearance_year,description
Ultraman,ultraman,Showa,"Shin Hayata,Shuuhei Aragaki,Chigusa Kuno",40,35000,20000,Land of Light ,Ultra,Spacium Beam,1966,"An alien of justice who came to Earth as an Inter Galactic Defense Force member from Nebula M78 Land of Light, in pursuit of Space Monster Bemular that escaped while being escorted to the Monster Graveyard. After crashing with SSSP member Hayata, Ultraman merged his life with Hayata’s and decided to stay and fight for the peace of the Earth."
Zoffy,ultraman-zoffy,Showa,"Professor Ohtani,Shingo Sakomizu",45,45000,25000,Land of Light ,Ultra,M87 Beam,1966,"A compatriot of Ultraman, who came to Earth to take Ultraman’s body back to their homeland: Nebula M78, when Ultraman was defeated by Space Dinosaur Zetton.
At that point, he was just a member of the Inter Galactic Defense Force.
After continuously displaying various brave actions and saving Ultraman, his achievements were recognized and he was appointed as the leader of the Inter Galactic Defense Force.
He is currently on the same position and owns the second highest rank next to that of Father of Ultra, who is the executive leader of the Inter Galactic Defense Force.
He also acts as the leader of the ""Ultraman Brothers"", a group consists of brave and veteran Ultra Heroes who has protected the peace of the universe and has achieved significant accomplishments."
Ultraseven,ultraseven,Showa,"Dan Moroboshi,Tetsuya Kitajima,Jin,Seiichiro Isurugi",40,35000,17000,Land of Light ,Ultra,Emerium Beam,1967,"An alien of justice that visited Earth from Nebula M78 Land of Light. Ultraseven was deeply touched by the act of self-sacrifice of a young earthling who was so considerate of others and gave his life to save his friend, thus Ultraseven decided to stay and fight to defend this wonderful planet and life that lives on from alien invaders."
Ultraman Jack,ultraman-jack,Showa,"Hideki Go,Tadao Nanbara",40,35000,17000,Land of Light ,Ultra,Spacium Beam,1971,"Ultraman Jack came from Nebula M78 Land of Light, also called as the “Land of Ultra,” to defend Earth from alien invasions and monsters awaken from sleep. Ultraman Jack skillfully uses the versatile weapon Ultra Bracelet which was given by Ultraseven.
Ultraman Jack takes the human form of Hideki Go who is a member of the Monster Attack Team “MAT” on Earth."
Ultraman Ace,ultraman-ace,Showa,"Seiji Hokuto,Yuko Minami,Takashi Ueno",40,45000,15000,Land of Light ,Ultra,Metalium Beam,1972,"Ultraman Ace is a warrior who is said to have particularly many variations of beam moves and psychic abilities among Ultra Heroes. He is second to none, especially in the variety of beam cutters using beam cutters, hence Ultraman Ace is also known as “The Ace of Beam Cutters.” He has two energy sources; one is the Color Timer located on his chest and the other is the Ultra Star located on his forehead. Therefore he is considered to be able to use twice as much energy as other Ultra Heroes so far."
Ultraman Taro,ultraman-taro,Showa,Kotaro Higashi,53,55000,12000,Land of Light ,Ultra,Strium Beam,1973,"Ultraman Taro is the biological child between Father of Ultra and Mother of Ultra. He is the sixth of the Ultraman Brothers and has horns, that are called “Ultra Horn” on his head and “Taro Bracelet” on his left wrist. Later, Mother of Ultra grants King Bracelet to Taro. His overall strength is extremely high and his combat capability is far superior to any of his brothers."
Father of Ultra,father-of-ultra,Showa,None,45,50000,160000,Land of Light ,Ultra,Father Shot,1972,"Father of Ultra is the peace-keeping guardian of the galaxy and the executive leader of the Inter Galactic Defense Force.
He gains respect for being a veteran warrior who has battled out the legendary Great Ultra Wars, which triggered the establishment of the Inter Galactic Defense Force."
Mother of Ultra,mother-of-ultra,Showa,None,40,32000,140000,Land of Light ,Ultra,Mother Beam,1973,"Leader of Silver Cross Aid, a relief unit of the Land of Light, she is respected by all as a mother figure. She′s the wife of the Father of Ultra and the mother of Ultraman Taro. She kindly watches over the warriors who face harsh battles. During the Great Ultra War, she met and cared for the Father of Ultra, bringing them together."
Ultraman Leo,ultraman-leo,Showa,Gen Otori,52,48000,10000,"Planet L77,Land of Light",Ultra,Leo Kick,1974,"Ultraman Leo is an alien from Planet L77 of constellation Leo. He grew up with his brother Astra on Planet L77. However, after Planet L77 was destroyed under the attack of Alien Magma, Black Giras and Red Giras, he escaped all alone to Earth. On Earth, he was living as a human being named “Gen Otori”, working at the Jonan Sports Center. When Ultraseven was driven into a corner by Alien Magma and others which appeared on Earth for invation, he transformed into Ultraman Leo and saved Ultraseven. From then on, he joined MAC, and took up the duty of defending Earth in place of Ultraseven who lost the ability to transform."
Ultraman Astra,ultraman-astra,Showa,None,50,49000,10000,"Planet L77,Land of Light",Ultra,"Ultra Double Flasher,Astra Chop",1974,"Astra is the younger twin brother of Ultraman Leo. He grew up with Ultraman Leo on Planet L77 of constellation Leo, however they were separated during the destruction of Planet L77 caused by Alien Magma’s invasion. Astra was held captive by Alien Magma, yet he was rescued by Ultraman King. Then Astra rushed to Earth where Ultraman Leo was facing an uphill battle against Brother Monsters Gallon and Little. Astra and Ultraman Leo defeated the monsters together with Combination Beam, “Ultra Double Flasher”. The Magmatic Chain strapped on his left thigh was put on by Alien Magma, which even Ultraman King can not break."
Ultraman King,ultraman-king,Showa,None,58,56000,300000,Unknown,Ultra,"King Flasher,Baptism Beam",1974,"Ultraman King is a legendary Ultra Hero who is said to live all alone on Planet King and look out for the peace of the universe. For a long time, its existence was a mystery even in planets such as Nebula M78 and Planet L77 of constellation Leo. He appeared on Earth for the first time to save Ultraman Leo who was cornered by the psychic attack of Monster Human Pressure."
Ultraman Joneus,ultraman-joneus,Showa,Choichiro Hikari,70,50000,28000,Plant U40,Ultra People,Planium Beam,1979,
Ultraman 80,ultraman-80,Showa,Takeshi Yamato,50,44000,8000,Land of Light ,Ultra,Succium Beam,1980,"Ultraman 80 is an Inter Galactic Defense Force member who was sent from Nebula M78 Land of Light to protect Earth. He believes that monsters are born from the evil thoughts of human beings, therefore he became a junior high school teacher named Takeshi Yamato to lead children into the right path. His fighting style is speedy and acrobatic. He fights against monsters and evil aliens with his abundant psychic abilities and beam attacks."
Ultraman Yullian,ultraman-yullian,Showa,Ryoko Hoshi,46,36000,7800,Land of Light ,Ultra,"Yullian Chop,Double Power,Yullian Throw",1981,"Yullian is the princess of the Land of Light who came to Earth from Nebula M78 Land of Light, where she grew up together with Ultraman 80. She came to Earth to warn Ultraman 80 that King Galtan from Planet Garagara, that attacked Land of Light, was now after his life. However, Yullian suffered from a temporary loss of memory due to the spaceship accident that happened when she arrived on Earth. She was rescued in her human form and named as Ryoko Hoshi by Captain Oyama of UGM. Afterwards, Ryoko joined UGM to tread in Emi Jono’s footsteps, an UGM member who was killed in the line of duty, and played a great role in defending Earth."
Ultraman Scott,ultraman-scott,Showa,Scott Masterson,82,64000,12000,Planet Altara,Ultra,Granium Beam,1987,"A brave young hero from the Ultra Force trio who merged with pilot Scott Masterson, Scott fought to protect America along with Chuck and Beth. When a new threat arises, a new adventure will begin…"
Ultrawoman Beth,ultrawoman-beth,Showa,Beth O'Brian,76,54000,10000,Planet Altara,Ultra,Granium Beam,1987,"The first Ultra to be called by the name ""Ultrawoman,"" Beth merged with pilot Beth O'Brian and became one of the three heroes of the Ultra Force who protect America from the Sorkin monsters."
Ultraman Chuck,ultraman-chuck,Showa,Chuck Gavin,79,68000,14000,Planet Altara,Ultra,Granium Beam,1987,"The eldest of the Ultra Force, Chuck merged with pilot Chuck Gavin. He is praised for recognizing and saving Zoon, a friendly Sorkin monster. He protects America with Scott and Beth, the other Ultra Force members."
Ultraman Great,ultraman-great,Heisei,Jack Shindo,60,58000,17000,Land of Light ,Ultra,"Burning Plasma,Knuckle Shooter,Palm Shooter,Magnum Shoot,Great Slicer,Double Great Slicer, Dissolver, Finger Beam",1992,"An Alien from Nebula M78, where all beings seek to keep peace in the Universe and supervise the right development of life forms on all planets.
Great makes a promise with Jack Shindo to borrow his body, so in human form Jack operates of his own free will, and he uses the Delta Plasma pendant to transform into Ultraman Great. In battle, he uses physical techniques like punches and kicks to defeat enemies, as well as a diverse range of light beam attacks like the Burning Plasma and Knuckle Shooter.
Entrusted with the mission to defeat the Evil Life Form Gudis, he travels to the solar system where they fight on Mars. Jack is caught up in their battle and unable to return home and so Great fuses with him. On returning to Earth, he works with Jack and the UMA to defeat monsters infected with Gudis cells.
Even then he stays on Earth to protect humanity from many monster attacks, but Kilazee and Kodalar appear to eradicate humanity for polluting the Earth. In the grueling battle to defeat them he separates from Jack and flies off with his enemy into space."
Ultraman Powered,ultraman-powered,Heisei,Kenichi Kai,55,58000,15000,Land of Light ,Ultra,"Mega Spacium Beam,Powered Slash",1995,"An Alien belonging to Nebula M78, an organization dedicated to upholding peace in the Galaxy.
In pursuit of the Alien Baltans who sought to subdue the Universe, he transformed into a red orb and flew to Earth, landing in the outskirts of Los Angeles, USA. Kai Kenichi came to investigate the orb, where Ultraman Powered asked for his help. Powered fused with Kai, and after defeating the threat of Alien Baltan and protecting humanity, he decides to stay on Earth until he can be sure it is truly safe.
He promises Kai that he can continue to live as himself in human form after they fuse, and Kai transforms into Powered using the Flash Prism to fight against monsters and alien invaders. Powered goes on to defeat many foes with his diverse array of special attacks like his iconic Mega Spacium Beam.
In the deciding battle against the Baltans he separates from Kai. The battle culminates with Powered defeating the Baltans and the Zetton they controlled, and then runs out of energy. At that moment red orbs flew down to Earth to guide him and, turning into a red orb himself, Powered bids farewell to Kai and flies off into space."
